x_vc,y_vc,x_cs,y_cs,diff_x,diff_y
-1.31516,-0.165985,0.0981296,3.26186,-1.41329,-3.42784
-1.31516,-0.165985,0.0981296,3.26186,-1.41329,-3.42784
-1.31431,-0.168886,0.0976985,3.25539,-1.41201,-3.42427
-1.318,-0.164796,0.0987339,3.25595,-1.41674,-3.42074
-1.31491,-0.168088,0.0963994,3.25752,-1.41131,-3.42561
-1.31647,-0.164282,0.0979857,3.24989,-1.41445,-3.41417
-1.3146,-0.16869,0.0999337,3.25403,-1.41453,-3.42272
-1.31707,-0.166888,0.0988153,3.25181,-1.41589,-3.41869
-1.3165,-0.165688,0.100007,3.25093,-1.4165,-3.41661
-1.31708,-0.166975,0.098636,3.26432,-1.41572,-3.4313
-1.31537,-0.166479,0.0999195,3.25461,-1.41529,-3.42109
-1.31633,-0.166585,0.101857,3.24324,-1.41819,-3.40982
-1.3175,-0.168483,0.0943741,3.26487,-1.41188,-3.43335
-1.3149,-0.167446,0.0976815,3.26069,-1.41258,-3.42813
-1.31841,-0.166244,0.0998645,3.25411,-1.41828,-3.42036
-1.3146,-0.16629,0.0998107,3.2627,-1.41442,-3.42899
-1.3162,-0.166321,0.099198,3.25578,-1.4154,-3.4221
-1.31501,-0.166526,0.101504,3.25827,-1.41652,-3.42479
-1.31602,-0.166817,0.099319,3.25485,-1.41534,-3.42166
-1.31577,-0.166924,0.0975768,3.25749,-1.41334,-3.42441
-1.31642,-0.16574,0.0995591,3.24572,-1.41598,-3.41146
-1.31645,-0.165722,0.097524,3.26069,-1.41397,-3.42642
-1.31429,-0.168223,0.0987646,3.2503,-1.41305,-3.41852
-1.31553,-0.165575,0.101122,3.25532,-1.41665,-3.4209
-1.31512,-0.168801,0.0999468,3.23257,-1.41507,-3.40138
-1.31459,-0.169006,0.0952162,3.23697,-1.40981,-3.40597
-1.31643,-0.165223,0.0979738,3.25441,-1.4144,-3.41963
-1.31484,-0.169431,0.0988526,3.2357,-1.41369,-3.40513
-1.3178,-0.165107,0.101682,3.2506,-1.41949,-3.41571
-1.31549,-0.168175,0.0980389,3.24851,-1.41353,-3.41668
-1.31406,-0.167949,0.100158,3.25112,-1.41422,-3.41907
-1.31405,-0.166856,0.0991071,3.24075,-1.41315,-3.40761
-1.31592,-0.165666,0.0981163,3.24614,-1.41403,-3.41181
-1.31305,-0.165132,0.0978877,3.24501,-1.41094,-3.41014
-1.30928,-0.164287,0.101105,3.24593,-1.41038,-3.41022
-1.30817,-0.164058,0.0994353,3.24909,-1.4076,-3.41314
-1.29932,-0.164422,0.0975482,3.25486,-1.39687,-3.41928
-1.29616,-0.157678,0.0994051,3.25302,-1.39557,-3.4107
-1.28117,-0.151324,0.101751,3.2422,-1.38292,-3.39353
-1.25804,-0.151734,0.101057,3.24957,-1.3591,-3.40131
-1.23346,-0.146426,0.0999457,3.24886,-1.3334,-3.39528
-1.21064,-0.138402,0.0986733,3.25996,-1.30931,-3.39836
-1.17713,-0.13632,0.0990886,3.25054,-1.27622,-3.38686
-1.14457,-0.131952,0.0985004,3.25877,-1.24307,-3.39073
-1.11397,-0.124374,0.0984254,3.2565,-1.2124,-3.38088
-1.08472,-0.117537,0.099038,3.26385,-1.18376,-3.38139
-1.05939,-0.114213,0.0967139,3.25205,-1.1561,-3.36627
-1.0358,-0.108031,0.099071,3.24618,-1.13487,-3.35421
-1.01011,-0.100417,0.09726,3.24466,-1.10737,-3.34507
-0.987811,-0.0895197,0.0977016,3.24365,-1.08551,-3.33317
-0.96308,-0.0760831,0.0980154,3.24602,-1.0611,-3.3221
-0.932426,-0.0611914,0.0982733,3.25152,-1.0307,-3.31272
-0.909895,-0.0481245,0.0982923,3.24746,-1.00819,-3.29559
-0.882876,-0.0399498,0.0960671,3.24732,-0.978943,-3.28727
-0.852027,-0.0265249,0.096522,3.25079,-0.948549,-3.27731
-0.817813,-0.0202233,0.102108,3.25428,-0.919921,-3.2745
-0.810973,-0.0201826,0.0990588,3.23878,-0.910032,-3.25896
-0.779244,-0.0153419,0.0985559,3.24936,-0.8778,-3.2647
-0.771923,-0.0136076,0.0976967,3.24253,-0.86962,-3.25614
-0.764798,-0.0108943,0.0983378,3.23717,-0.863136,-3.24807
-0.767646,-0.00860639,0.100781,3.23682,-0.868428,-3.24542
-0.772804,-0.00931957,0.100321,3.24553,-0.873125,-3.25485
-0.776347,-0.017963,0.0958366,3.23117,-0.872184,-3.24914
-0.788946,-0.0222203,0.0999857,3.23894,-0.888932,-3.26116
-0.79753,-0.0224093,0.100918,3.24466,-0.898449,-3.26707
-0.816317,-0.0248879,0.10176,3.24106,-0.918077,-3.26595
-0.837077,-0.0287377,0.100414,3.24885,-0.937491,-3.27759
-0.860689,-0.0321491,0.101449,3.2396,-0.962138,-3.27175
-0.885643,-0.0330408,0.0983991,3.23967,-0.984042,-3.27271
-0.908091,-0.0329271,0.0993846,3.23457,-1.00748,-3.26749
-0.948171,-0.0235618,0.101445,3.24627,-1.04962,-3.26983
-0.980765,-0.0107424,0.100394,3.24095,-1.08116,-3.25169
-1.00624,-0.00152728,0.096827,3.25771,-1.10307,-3.25923
-1.02248,0.00860723,0.0980139,3.24354,-1.1205,-3.23494
-1.04,0.031357,0.100882,3.25327,-1.14088,-3.22191
-1.04737,0.0549994,0.0966306,3.24992,-1.144,-3.19492
-1.03601,0.0811525,0.0982659,3.25374,-1.13427,-3.17258
-1.03257,0.106021,0.0987647,3.25122,-1.13134,-3.1452
-1.0176,0.1212,0.0998009,3.25961,-1.1174,-3.13841
-1.01397,0.144311,0.0987175,3.26406,-1.11268,-3.11975
-1.0092,0.171832,0.096387,3.2515,-1.10559,-3.07967
-0.998267,0.193858,0.0986839,3.25481,-1.09695,-3.06096
-0.997546,0.212979,0.0986534,3.2595,-1.0962,-3.04652
-0.998979,0.2386,0.0975593,3.25136,-1.09654,-3.01276
-0.996567,0.243728,0.0984348,3.2572,-1.095,-3.01348
-0.990062,0.262221,0.0979554,3.24487,-1.08802,-2.98265
-0.992385,0.278026,0.0996565,3.25349,-1.09204,-2.97546
-0.994097,0.297646,0.0983546,3.25542,-1.09245,-2.95777
-0.994173,0.305291,0.0980953,3.26299,-1.09227,-2.9577
-0.998612,0.332513,0.0967001,3.24817,-1.09531,-2.91565
-1.00405,0.358147,0.102669,3.25811,-1.10671,-2.89996
-1.00732,0.378062,0.0971104,3.25869,-1.10443,-2.88062
-1.02606,0.417803,0.0958287,3.25238,-1.12189,-2.83457
-1.02935,0.43834,0.0963428,3.25995,-1.12569,-2.82161
-1.0401,0.483508,0.0998029,3.25325,-1.13991,-2.76974
-1.0522,0.517249,0.0978303,3.25588,-1.15003,-2.73863
-1.05795,0.549171,0.098776,3.2528,-1.15673,-2.70362
-1.06733,0.580455,0.100107,3.25134,-1.16744,-2.67089
-1.06904,0.613205,0.101983,3.25563,-1.17103,-2.64243
-1.07296,0.651085,0.102151,3.25064,-1.17511,-2.59955
-1.07602,0.688958,0.0992559,3.26132,-1.17528,-2.57236
-1.07444,0.698349,0.0975097,3.26268,-1.17195,-2.56433
-1.06885,0.759653,0.0997959,3.25092,-1.16864,-2.49127
-1.06329,0.813238,0.099287,3.25358,-1.16257,-2.44034
-1.04914,0.872492,0.0993127,3.26155,-1.14846,-2.38905
-1.04522,0.951542,0.100098,3.24858,-1.14531,-2.29704
-1.00605,0.936098,0.0980846,3.26296,-1.10414,-2.32686
-0.984596,0.969897,0.10172,3.25778,-1.08632,-2.28788
-0.956857,0.991456,0.10075,3.25561,-1.05761,-2.26415
-0.930438,1.01286,0.101046,3.25432,-1.03148,-2.24145
-0.900173,1.02326,0.0998344,3.25088,-1.00001,-2.22762
-0.876478,1.02693,0.100343,3.25162,-0.976822,-2.22469
-0.849854,1.04746,0.100405,3.25775,-0.950258,-2.21028
-0.831864,1.0597,0.0988163,3.25797,-0.93068,-2.19826
-0.781475,1.05706,0.0990599,3.25192,-0.880535,-2.19486
-0.746032,1.06118,0.099057,3.25697,-0.845089,-2.19579
-0.707903,1.05484,0.0994485,3.2601,-0.807351,-2.20525
-0.671547,1.05343,0.0968067,3.25297,-0.768353,-2.19954
-0.626931,1.03028,0.0988853,3.26376,-0.725816,-2.23348
-0.599757,1.01506,0.101288,3.25512,-0.701045,-2.24006
-0.566456,1.02067,0.0955499,3.26713,-0.662006,-2.24646
-0.520654,0.999099,0.0994037,3.25801,-0.620057,-2.25891
-0.48047,0.970902,0.0967834,3.25445,-0.577253,-2.28355
-0.439862,0.944683,0.0986954,3.25425,-0.538558,-2.30956
-0.383916,0.904799,0.0990646,3.25676,-0.48298,-2.35196
-0.334725,0.871114,0.10161,3.25957,-0.436334,-2.38846
-0.292945,0.860752,0.0988376,3.26285,-0.391783,-2.4021
-0.243306,0.812447,0.0974873,3.26483,-0.340794,-2.45238
-0.199986,0.789924,0.0974161,3.26195,-0.297402,-2.47202
-0.184607,0.778503,0.0981858,3.27,-0.282793,-2.49149
-0.184607,0.778503,0.098982,3.26883,-0.283589,-2.49033
-0.125011,0.743564,0.0994563,3.25624,-0.224467,-2.51268
-0.125011,0.743564,0.0971387,3.26037,-0.22215,-2.51681
-0.125011,0.743564,0.0986109,3.26253,-0.223622,-2.51896
-0.125011,0.743564,0.0982791,3.26101,-0.22329,-2.51745
